3000,-10,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
3000,5,9,9,9,9,3000,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3000
3000,5,9,9,9,9,3000,7,9,9,9,9,7,100,100,100,9,9,9,9,9,9,100,7,3000
3000,5,9,9,9,9,3000,7,9,9,9,9,7,100,100,100,9,9,15,15,15,15,9,7,3000
3000,5,9,9,9,9,3000,7,9,9,9,9,7,100,3000,15,15,15,15,100,100,15,9,7,3000
3000,5,5,5,9,9,3000,7,9,9,9,9,7,100,3000,15,25,25,25,25,100,15,9,7,3000
3000,15,15,5,9,9,3000,7,9,9,9,9,7,7,3000,15,25,35,35,25,15,15,9,7,3000
3000,100,100,5,9,9,3000,7,100,100,100,100,100,7,3000,100,25,25,25,25,15,9,100,7,3000
3000,15,15,5,9,9,3000,7,100,100,100,100,100,7,3000,100,100,15,15,15,7,7,7,7,3000
3000,5,5,5,9,9,3000,7,7,7,7,7,7,7,3000,15,15,15,9,7,7,9,9,9,3000
3000,5,9,9,9,9,3000,9,7,9,9,9,9,9,3000,9,9,9,7,7,9,15,15,15,3000
3000,5,9,9,9,9,3000,9,7,9,9,9,9,9,3000,9,7,7,7,15,15,15,100,100,3000
3000,5,9,9,9,9,3000,9,7,15,15,15,9,9,3000,7,7,9,15,25,25,25,25,100,3000
3000,5,7,7,7,7,3000,9,7,15,100,3000,3000,3000,3000,7,9,15,15,25,35,35,25,15,3000
3000,100,100,100,9,7,3000,9,7,15,15,15,9,9,3000,7,9,15,100,25,25,25,25,9,3000
3000,10,10,10,10,10,3000,9,7,7,7,7,7,7,3000,7,9,15,100,100,15,9,9,9,3000
3000,10,20,20,20,20,3000,9,9,9,15,15,15,7,3000,7,9,15,15,15,15,9,9,9,3000
3000,10,20,30,30,30,3000,3000,3000,3000,3000,100,15,7,3000,7,100,9,9,9,9,9,9,9,3000
3000,10,20,30,40,40,3000,9,9,9,15,15,15,7,3000,7,7,7,7,7,7,7,7,7,3000
3000,10,20,30,40,50,3000,9,9,9,9,9,9,7,3000,9,9,9,9,9,3000,3000,3000,1,3000
3000,10,20,30,40,40,3000,9,9,9,9,9,9,7,3000,9,9,9,9,9,3000,-11,3000,1,3000
3000,10,20,30,30,30,3000,15,9,9,9,15,15,7,3000,9,9,9,9,9,3000,1,3000,1,3000
3000,10,20,20,20,20,100,15,9,9,9,15,100,7,3000,9,9,9,9,9,3000,1,3000,1,3000
3000,10,10,10,10,10,7,7,7,7,7,7,7,7,3000,9,9,9,9,9,3000,1,1,1,3000
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
